Location_ID,total_15m_windows,windows_with_records,zero_row_windows,median_observed_rows,p10_observed_rows,p90_observed_rows,zero_row_window_pct,max_consecutive_zero_row_15m_windows,max_gap_minutes
1,88,88,0,15.0,3.0,15.0,0.0,0,0
2,88,86,2,15.0,2.700000000000001,15.0,2.272727272727273,1,15
3,88,88,0,15.0,8.700000000000001,15.0,0.0,0,0
4,88,88,0,15.0,9.700000000000001,15.0,0.0,0,0
5,88,87,1,3.0,3.0,3.0,1.1363636363636365,1,15
6,88,88,0,14.0,5.0,15.0,0.0,0,0
8,88,62,26,8.5,0.0,15.0,29.545454545454547,10,150
9,88,85,3,8.5,1.0,13.0,3.409090909090909,1,15
10,88,76,12,6.0,0.0,11.0,13.636363636363637,4,60
11,88,75,13,7.5,0.0,14.0,14.772727272727273,4,60
12,88,70,18,9.0,0.0,15.0,20.454545454545453,6,90
14,88,72,16,10.0,0.0,15.0,18.181818181818183,5,75
17,88,87,1,14.0,2.700000000000001,15.0,1.1363636363636365,1,15
18,88,66,22,4.0,0.0,14.0,25.0,16,240
19,88,86,2,15.0,3.700000000000001,15.0,2.272727272727273,1,15
20,88,87,1,14.5,4.0,15.0,1.1363636363636365,1,15
21,88,87,1,3.0,2.700000000000001,3.0,1.1363636363636365,1,15
23,88,86,2,3.0,1.0,3.0,2.272727272727273,1,15
24,88,87,1,15.0,6.700000000000001,15.0,1.1363636363636365,1,15
25,88,87,1,3.0,2.0,3.0,1.1363636363636365,1,15
27,88,84,4,3.0,1.0,3.0,4.545454545454546,1,15
29,88,85,3,13.0,2.0,15.0,3.409090909090909,2,30
30,88,87,1,3.0,3.0,3.0,1.1363636363636365,1,15
31,88,78,10,10.0,0.0,15.0,11.363636363636363,3,45
35,88,88,0,15.0,5.0,15.0,0.0,0,0
36,88,87,1,14.0,4.0,15.0,1.1363636363636365,1,15
37,88,69,19,3.0,0.0,3.0,21.59090909090909,11,165
39,88,76,12,8.0,0.0,12.0,13.636363636363637,5,75
40,88,86,2,13.0,2.0,15.0,2.272727272727273,2,30
41,88,84,4,15.0,10.700000000000001,15.0,4.545454545454546,3,45
42,88,76,12,7.0,0.0,14.0,13.636363636363637,3,45
43,88,81,7,3.0,1.0,3.0,7.954545454545454,2,30
44,88,79,9,3.0,0.7000000000000011,3.0,10.227272727272727,6,90
45,88,87,1,3.0,3.0,3.0,1.1363636363636365,1,15
46,88,65,23,3.0,0.0,3.0,26.136363636363637,14,210
47,88,87,1,3.0,3.0,3.0,1.1363636363636365,1,15
48,88,87,1,3.0,2.0,3.0,1.1363636363636365,1,15
49,88,87,1,3.0,3.0,3.0,1.1363636363636365,1,15
50,88,69,19,10.0,0.0,15.0,21.59090909090909,7,105
51,88,84,4,9.0,1.0,13.0,4.545454545454546,4,60
52,88,82,6,10.0,1.0,15.0,6.818181818181818,3,45
53,88,88,0,15.0,4.0,15.0,0.0,0,0
54,88,85,3,3.0,2.0,3.0,3.409090909090909,1,15
56,88,85,3,11.0,4.700000000000001,15.0,3.409090909090909,3,45
58,88,87,1,3.0,2.700000000000001,3.0,1.1363636363636365,1,15
59,88,87,1,3.0,3.0,3.0,1.1363636363636365,1,15
61,88,88,0,14.0,4.700000000000001,15.0,0.0,0,0
62,88,88,0,15.0,5.0,15.0,0.0,0,0
63,88,88,0,15.0,6.0,15.0,0.0,0,0
