Theme,Sub Theme,Feature Name,Co-ordinates,Latitude,Longitude,Nearest_Outdoor_Sensor_ID,Nearest_Outdoor_Sensor_Distance_m,Coverage_Status
Vacant Land,Current Construction Site - Commercial,Railway Good Shed No 2,"-37.8211371302179, 144.951378883631",-37.8211371302179,144.951378883631,9,148.6317418024454,SUPPORTED
Transport,Railway Station,Parliament Railway Station,"-37.8116061787171, 144.973017263156",-37.8116061787171,144.973017263156,71,167.1346084049441,SUPPORTED
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),North Melbourne Recreation Reserve,"-37.7988345257153, 144.941452061463",-37.7988345257153,144.941452061463,180,690.2772765363104,NO_DATA
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Princes Park,"-37.7870161727156, 144.961115214367",-37.7870161727156,144.961115214367,44,1145.9961833656162,NO_DATA
Office,Office,Donor Tissue Bank of Victoria,"-37.8248231859563, 144.965169035668",-37.8248231859563,144.965169035668,179,215.41391479166674,SUPPORTED
Transport,Railway Station,Melbourne Central Railway Station,"-37.8100167030855, 144.963789344893",-37.8100167030855,144.963789344893,187,67.31333294546809,SUPPORTED
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Argyle Square,"-37.8031480577285, 144.965761295089",-37.8031480577285,144.965761295089,31,177.00431826206818,SUPPORTED
Leisure/Recreation,Major Sports & Recreation Facility,Westpac Centre,"-37.8242456858593, 144.979720306309",-37.8242456858593,144.979720306309,136,843.4732420308542,NO_DATA
Education Centre,School - Primary and Secondary Education,Melbourne Girls Grammar School,"-37.8315364518803, 144.985089428348",-37.8315364518803,144.985089428348,136,1775.1466793761228,NO_DATA
Health Services,Medical Services,Mercy Private Hospital,"-37.811896809802, 144.984435746587",-37.811896809802,144.984435746587,75,930.6072551287136,NO_DATA
Leisure/Recreation,Major Sports & Recreation Facility,Carlton Football Club,"-37.7840864379557, 144.961967841559",-37.7840864379557,144.961967841559,44,1450.5271537814272,NO_DATA
Education Centre,Primary Schools,Carlton Gardens Primary School,"-37.8020953835112, 144.969406272035",-37.8020953835112,144.969406272035,37,236.62017584524077,SUPPORTED
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Kings Domain,"-37.8255239795833, 144.974107925144",-37.8255239795833,144.974107925144,29,776.553771407199,NO_DATA
Education Centre,Secondary Schools,Melbourne Grammar School,"-37.8342561018747, 144.976285045233",-37.8342561018747,144.976285045233,140,1570.481872896822,NO_DATA
Mixed Use,Retail/Office/Carpark,Southgate Arts and Leisure Precinct,"-37.8202245786597, 144.965989052839",-37.8202245786597,144.965989052839,35,79.51329345173315,SUPPORTED
Place Of Assembly,Art Gallery/Museum,Australian Centre for Contemporary Art,"-37.8266045432686, 144.967252924593",-37.8266045432686,144.967252924593,179,478.1167999248124,NO_DATA
Office,Office,SBS (Special Broadcasting Service),"-37.8176921210305, 144.968740597156",-37.8176921210305,144.968740597156,72,47.686550525649935,SUPPORTED
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Federation Square,"-37.8178516571684, 144.968963600783",-37.8178516571684,144.968963600783,72,68.60682930484654,SUPPORTED
Health Services,Public Hospital,Royal Womens Hospital,"-37.7988892460088, 144.954897253856",-37.7988892460088,144.954897253856,86,693.1001464286811,NO_DATA
Transport,Railway Station,South Kensington Railway Station,"-37.7997270537735, 144.925837749713",-37.7997270537735,144.925837749713,85,691.4608352240965,NO_DATA
Place Of Assembly,Art Gallery/Museum,National Sports Museum,"-37.8189544909462, 144.984669809381",-37.8189544909462,144.984669809381,75,974.2997103945438,NO_DATA
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Flagstaff Gardens,"-37.8111222889277, 144.954696055235",-37.8111222889277,144.954696055235,109,160.9834208769462,SUPPORTED
Education Centre,Primary Schools,North Melbourne Primary School,"-37.7986737155551, 144.951065772876",-37.7986737155551,144.951065772876,86,522.162620784185,NO_DATA
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Westgate Park,"-37.8314918578874, 144.908824792698",-37.8314918578874,144.908824792698,130,3102.183444683321,NO_DATA
Place of Worship,Church,St Mary's Anglican Church,"-37.8031663672997, 144.953761537074",-37.8031663672997,144.953761537074,27,399.78217817260287,NO_DATA
Transport,Railway Station,Flagstaff Railway Station,"-37.8122356514626, 144.956318211113",-37.8122356514626,144.956318211113,109,34.53740333778473,SUPPORTED
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Newmarket Reserve,"-37.7878473341234, 144.922972125346",-37.7878473341234,144.922972125346,85,933.6485339295556,NO_DATA
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),J.J Holland Park,"-37.7982358832177, 144.923837074813",-37.7982358832177,144.923837074813,85,676.4922970727838,NO_DATA
Health Services,Public Hospital,Royal Childrens Hospital,"-37.7942060847278, 144.950048264678",-37.7942060847278,144.950048264678,86,992.5984391640275,NO_DATA
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Riverside Park,"-37.7948375315825, 144.915607065132",-37.7948375315825,144.915607065132,85,1242.5952555286021,NO_DATA
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Fitzroy Gardens,"-37.8129616331579, 144.980455714669",-37.8129616331579,144.980455714669,75,563.1018535752311,NO_DATA
Health Services,Public Hospital,Peter Maccallum Cancer Institute,"-37.8114766732026, 144.977400949063",-37.8114766732026,144.977400949063,17,436.98860455490944,NO_DATA
Place Of Assembly,Library,The Melbourne Athenaeum Library,"-37.8148855756416, 144.967291289941",-37.8148855756416,144.967291289941,4,105.72083931679104,SUPPORTED
Place of Worship,Church,Romanian Orthodox,"-37.8052307297468, 144.966986444597",-37.8052307297468,144.966986444597,188,263.667061672564,LIMITED
